title,authors,year,venue,doi,abstract,source_url,discovery_source,discovery_query,inclusion_path,citation_count,reference_count,candidate_id,scored_at,venue_score,citation_score,institution_score,usage_score,relevance_score,total_quality_score,review_reason,recommended_action
Social Media Intelligence: Opportunities and Limitations,Adrian Ivan; Claudia Anamaria Iov; Raluca Codruta Lutai; Marius Grad,2015,Econstor (Econstor),,,http://hdl.handle.net/10419/198401,OpenAlex,social media intelligence,discovery,10.0,2.0,159,2026-04-23T15:04:15.521928+00:00,40.0,13.13,40.0,0.0,25.0,24.94,Below quality threshold,reject
Social Media Intelligence: Measuring Brand Sentiment from Online Conversations,David A. Schweidel; Wendy W. Moe; Chris Boudreaux,2011,SSRN Electronic Journal,10.2139/ssrn.1874892,,https://doi.org/10.2139/ssrn.1874892,OpenAlex,social media intelligence,discovery,23.0,29.0,160,2026-04-23T15:04:15.521928+00:00,40.0,19.31,40.0,0.0,25.0,26.79,Below quality threshold,reject
Intelligence and global health: assessing the role of open source and social media intelligence analysis in infectious disease outbreaks,Rose Bernard; Gemma Bowsher; C. Milner; Peter Boyle; Preeti Patel; Richard Sullivan,2018,Journal of Public Health,10.1007/s10389-018-0899-3,,https://doi.org/10.1007/s10389-018-0899-3,OpenAlex,social media intelligence,discovery,30.0,24.0,161,2026-04-23T15:04:15.521928+00:00,40.0,31.77,40.0,0.0,25.0,30.53,Below quality threshold,reject
Social Media Intelligence (SOCMINT),David Omand,2017,Palgrave Macmillan UK eBooks,10.1057/978-1-137-53675-4_20,,https://doi.org/10.1057/978-1-137-53675-4_20,OpenAlex,social media intelligence,discovery,8.0,18.0,162,2026-04-23T15:04:15.521928+00:00,100.0,12.74,40.0,0.0,25.0,39.82,Below quality threshold,reject
Understanding artificial intelligence adoption in operations management: insights from the review of academic literature and social media discussions,Purva Grover; Arpan Kumar Kar; Yogesh K. Dwivedi,2020,Annals of Operations Research,10.1007/s10479-020-03683-9,,https://doi.org/10.1007/s10479-020-03683-9,OpenAlex,social media intelligence,discovery,390.0,104.0,163,2026-04-23T15:04:15.521928+00:00,40.0,87.5,40.0,0.0,0.0,42.25,Below quality threshold,reject
"The impact of digital technology, social media, and artificial intelligence on cognitive functions: a review",Mathura Shanmugasundaram; Arunkumar Tamilarasu,2023,Frontiers in Cognition,10.3389/fcogn.2023.1203077,,https://doi.org/10.3389/fcogn.2023.1203077,OpenAlex,social media intelligence,discovery,198.0,116.0,164,2026-04-23T15:04:15.521928+00:00,40.0,84.98,40.0,0.0,0.0,41.49,Below quality threshold,reject
Social media analytics and business intelligence research: A systematic review,Jaewoong Choi; Janghyeok Yoon; Jaemin Chung; Byoung‐Youl Coh; Jae-Min Lee,2020,Information Processing & Management,10.1016/j.ipm.2020.102279,,https://doi.org/10.1016/j.ipm.2020.102279,OpenAlex,social media intelligence,discovery,139.0,145.0,165,2026-04-23T15:04:15.521928+00:00,40.0,65.82,40.0,0.0,0.0,35.75,Below quality threshold,reject
Gaining competitive intelligence from social media data,Wu He; Jiancheng Shen; Xin Tian; Yaohang Li; Vasudeva Akula; Gongjun Yan; Ran Tao,2015,Industrial Management & Data Systems,10.1108/imds-03-2015-0098,,https://doi.org/10.1108/imds-03-2015-0098,OpenAlex,social media intelligence,discovery,109.0,33.0,166,2026-04-23T15:04:15.521928+00:00,40.0,50.07,40.0,0.0,0.0,31.02,Below quality threshold,reject
Social Bots and the Spread of Disinformation in Social Media: The Challenges of Artificial Intelligence,Nick Hajli; Usman Saeed; Mina Tajvidi; Farid Shirazi,2021,British Journal of Management,10.1111/1467-8551.12554,,https://doi.org/10.1111/1467-8551.12554,OpenAlex,social media intelligence,discovery,118.0,96.0,167,2026-04-23T15:04:15.521928+00:00,40.0,65.62,40.0,0.0,0.0,35.69,Below quality threshold,reject
Public Perception of Artificial Intelligence in Medical Care: Content Analysis of Social Media,Shuqing Gao; Lingnan He; Yue Chen; Dan Li; Kaisheng Lai,2020,Journal of Medical Internet Research,10.2196/16649,,https://doi.org/10.2196/16649,OpenAlex,social media intelligence,discovery,220.0,40.0,168,2026-04-23T15:04:15.521928+00:00,40.0,75.38,40.0,0.0,0.0,38.62,Below quality threshold,reject
Privacy in public spaces: what expectations of privacy do we have in social media intelligence?,Lilian Edwards; Lachlan Urquhart,2016,International Journal of Law and Information Technology,10.1093/ijlit/eaw007,,https://doi.org/10.1093/ijlit/eaw007,OpenAlex,social media intelligence,discovery,18.0,1.0,169,2026-04-23T15:04:15.521928+00:00,40.0,21.0,40.0,0.0,25.0,27.3,Below quality threshold,reject
Demystifying Social Bots: On the Intelligence of Automated Social Media Actors,Dennis Assenmacher; Lena Clever; Lena Frischlich; Thorsten Quandt; Heike Trautmann; Christian Grimme,2020,Social Media + Society,10.1177/2056305120939264,,https://doi.org/10.1177/2056305120939264,OpenAlex,social media intelligence,discovery,92.0,58.0,170,2026-04-23T15:04:15.521928+00:00,40.0,57.4,40.0,0.0,0.0,33.22,Below quality threshold,reject
An experimental investigation on the FPZ properties in concrete using digital image correlation technique,Zhimin Wu; Rong Hua; Jianjun Zheng; Feng Xu; Wei Dong,2011,Engineering Fracture Mechanics,10.1016/j.engfracmech.2011.08.016,,https://doi.org/10.1016/j.engfracmech.2011.08.016,OpenAlex,digital investigation techniques,discovery,326.0,24.0,207,2026-04-23T15:04:15.521928+00:00,40.0,66.35,40.0,0.0,0.0,35.91,Below quality threshold,reject
Digital investigation techniques :,James R Lyle; Barbara Guttman; John M. Butler; Kelly Sauerwein; Christina Reed; Corrine E. Lloyd,2022,,10.6028/nist.ir.8354,,https://doi.org/10.6028/nist.ir.8354,OpenAlex,digital investigation techniques,discovery,11.0,107.0,208,2026-04-23T15:04:15.521928+00:00,40.0,25.2,40.0,0.0,25.0,28.56,Below quality threshold,reject
Use of rigid-body motion for the investigation and estimation of the measurement errors related to digital image correlation technique,H. Haddadi; Sofiane Belhabib,2007,Optics and Lasers in Engineering,10.1016/j.optlaseng.2007.05.008,,https://doi.org/10.1016/j.optlaseng.2007.05.008,OpenAlex,digital investigation techniques,discovery,230.0,24.0,209,2026-04-23T15:04:15.521928+00:00,40.0,54.73,40.0,0.0,0.0,32.42,Below quality threshold,reject
Experimental investigation of progressive cracking processes in granite under uniaxial loading using digital imaging and AE techniques,Xiaoping Zhou; Jian‐Zhi Zhang; Qihu Qian; Yong Niu,2019,Journal of Structural Geology,10.1016/j.jsg.2019.06.003,,https://doi.org/10.1016/j.jsg.2019.06.003,OpenAlex,digital investigation techniques,discovery,266.0,66.0,210,2026-04-23T15:04:15.521928+00:00,40.0,76.57,40.0,0.0,0.0,38.97,Below quality threshold,reject
An investigation of the near wake of a circular cylinder using a video-based digital cross-correlation particle image velocimetry technique,Julio Soria,1996,Experimental Thermal and Fluid Science,10.1016/0894-1777(95)00086-0,,https://doi.org/10.1016/0894-1777(95)00086-0,OpenAlex,digital investigation techniques,discovery,281.0,32.0,211,2026-04-23T15:04:15.521928+00:00,40.0,50.03,40.0,0.0,0.0,31.01,Below quality threshold,reject
An experimental investigation on the surface water transport process over an airfoil by using a digital image projection technique,Kai Zhang; Wei Tian; Hui Hu,2015,Experiments in Fluids,10.1007/s00348-015-2046-z,,https://doi.org/10.1007/s00348-015-2046-z,OpenAlex,digital investigation techniques,discovery,106.0,56.0,214,2026-04-23T15:04:15.521928+00:00,40.0,49.53,40.0,0.0,0.0,30.86,Below quality threshold,reject
Categories of digital investigation analysis techniques based on the computer history model,Brian D. Carrier; Eugene H. Spafford,2006,Digital Investigation,10.1016/j.diin.2006.06.011,,https://doi.org/10.1016/j.diin.2006.06.011,OpenAlex,digital investigation techniques,discovery,65.0,12.0,215,2026-04-23T15:04:15.521928+00:00,100.0,30.55,40.0,0.0,0.0,40.16,Below quality threshold,reject
Analysis of Digital Investigation Techniques in Cloud Computing Paradigm,"Muhammad Naeem Ahmed Khan; Ullah, Wali; Khan, Abdul Rahman; Khalid S. Khan",2018,,10.13140/rg.2.2.26989.03045,,https://doi.org/10.13140/rg.2.2.26989.03045,OpenAlex,digital investigation techniques,discovery,4.0,0.0,216,2026-04-23T15:04:15.521928+00:00,40.0,7.97,40.0,0.0,25.0,23.39,Below quality threshold,reject
An investigation into fracture behavior of geopolymer concrete with digital image correlation technique,Zhifeng Xie; H.F. Zhou; Lizhen Lu; Zhaoshou Chen,2017,Construction and Building Materials,10.1016/j.conbuildmat.2017.08.041,,https://doi.org/10.1016/j.conbuildmat.2017.08.041,OpenAlex,digital investigation techniques,discovery,55.0,46.0,217,2026-04-23T15:04:15.521928+00:00,40.0,40.56,40.0,0.0,0.0,28.17,Below quality threshold,reject
Experimental investigations on induction machine condition monitoring and fault diagnosis using digital signal processing techniques,Sa’ad Ahmed Saleh Al Kazzaz; G. K. Singh,2003,Electric Power Systems Research,10.1016/s0378-7796(02)00227-4,,https://doi.org/10.1016/s0378-7796(02)00227-4,OpenAlex,digital investigation techniques,discovery,98.0,33.0,218,2026-04-23T15:04:15.521928+00:00,40.0,35.23,40.0,0.0,0.0,26.57,Below quality threshold,reject
"Damage investigation in CFRP composites using full-field measurement techniques: Combination of digital image stereo-correlation, infrared thermography and X-ray tomography",Cristina Goidescu; Hélène Welemane; Christian Garnier; Marina Fazzini; Romain Brault; Elodie Péronnet; Sébastien Mistou,2012,Composites Part B Engineering,10.1016/j.compositesb.2012.11.016,,https://doi.org/10.1016/j.compositesb.2012.11.016,OpenAlex,digital investigation techniques,discovery,145.0,36.0,219,2026-04-23T15:04:15.521928+00:00,40.0,51.29,40.0,0.0,0.0,31.39,Below quality threshold,reject
Experimental investigations of strain localization in concrete using Digital Image Correlation (DIC) technique,J. Kozicki; J. Tejchman,2007,Archives of Hydro-engineering and Environmental Mechanics,,,http://yadda.icm.edu.pl/baztech/element/bwmeta1.element.baztech-article-BAT8-0004-0011/c/Kozicki.pdf,OpenAlex,digital investigation techniques,discovery,50.0,22.0,220,2026-04-23T15:04:15.521928+00:00,40.0,27.14,40.0,0.0,0.0,24.14,Below quality threshold,reject
Digital image correlation techniques to investigate strain fields and cracking phenomena in asphalt materials,William G. Buttlar; Brian Hill; Y. Richard Kim; M. Emin Kutay; Anne Millien; Antonio Montepara; Gláucio H. Paulino; Christophe Petit; Ion Octavian Pop; Elena Romeo; R. Roncella; Seyed Amirshayan Safavizadeh; Gabriele Tebaldi; Andrew Wargo,2014,Materials and Structures,10.1617/s11527-014-0362-z,,https://doi.org/10.1617/s11527-014-0362-z,OpenAlex,digital investigation techniques,discovery,70.0,28.0,221,2026-04-23T15:04:15.521928+00:00,40.0,40.17,40.0,0.0,0.0,28.05,Below quality threshold,reject
Experimental Investigation of Damage Evolution Characteristics of Coral Reef Limestone Based on Acoustic Emission and Digital Volume Correlation Techniques,Kai Wu; Qingshan Meng; Chi Wang; Qinglong Qin; Chengsheng Li,2022,Rock Mechanics and Rock Engineering,10.1007/s00603-022-03186-y,,https://doi.org/10.1007/s00603-022-03186-y,OpenAlex,digital investigation techniques,discovery,58.0,54.0,222,2026-04-23T15:04:15.521928+00:00,40.0,54.9,40.0,0.0,0.0,32.47,Below quality threshold,reject
Investigation of bubble behavior in fluidized beds with and without immersed horizontal tubes using a digital image analysis technique,Teklay Weldeabzgi Asegehegn; M. R. Schreiber; Hans Joachim Krautz,2011,Powder Technology,10.1016/j.powtec.2011.03.025,,https://doi.org/10.1016/j.powtec.2011.03.025,OpenAlex,digital investigation techniques,discovery,68.0,41.0,223,2026-04-23T15:04:15.521928+00:00,40.0,35.93,40.0,0.0,0.0,26.78,Below quality threshold,reject
Investigating NMR-based absolute and relative permeability models of sandstone using digital rock techniques,Weichao Yan; Jianmeng Sun; Huaimin Dong; Likai Cui,2021,Journal of Petroleum Science and Engineering,10.1016/j.petrol.2021.109105,,https://doi.org/10.1016/j.petrol.2021.109105,OpenAlex,digital investigation techniques,discovery,36.0,78.0,224,2026-04-23T15:04:15.521928+00:00,40.0,42.16,40.0,0.0,0.0,28.65,Below quality threshold,reject
Shoreline Definition and Detection: A Review,Elizabeth H. Boak; Ian L. Turner,2005,Journal of Coastal Research,10.2112/03-0071.1,,https://doi.org/10.2112/03-0071.1,OpenAlex,digital investigation techniques,discovery,1416.0,65.0,226,2026-04-23T15:04:15.521928+00:00,40.0,90.57,40.0,0.0,0.0,43.17,Below quality threshold,reject
Experimental investigation of the delayed behavior of unsaturated argillaceous rocks by means of Digital Image Correlation techniques,Diansen Yang; Michel Bornert; S. Chanchole; Linlin Wang; P. Valli; Behrouz Gatmiri,2011,Applied Clay Science,10.1016/j.clay.2011.07.012,,https://doi.org/10.1016/j.clay.2011.07.012,OpenAlex,digital investigation techniques,discovery,44.0,22.0,227,2026-04-23T15:04:15.521928+00:00,40.0,28.64,40.0,0.0,0.0,24.59,Below quality threshold,reject
Formulation for stable and efficient implementation of the rigorous coupled-wave analysis of binary gratings,M. G. Moharam; Thomas K. Gaylord; Eric B. Grann; Drew A. Pommet,1995,Journal of the Optical Society of America A,10.1364/josaa.12.001068,,https://doi.org/10.1364/josaa.12.001068,OpenAlex,digital investigation techniques,discovery,2624.0,10.0,229,2026-04-23T15:04:15.521928+00:00,40.0,95.75,40.0,0.0,0.0,44.72,Below quality threshold,reject
Incremental Hacker Forum Exploit Collection and Classification for Proactive Cyber Threat Intelligence: An Exploratory Study,Ryan Williams; Sagar Samtani; Mark Patton; Hsinchun Chen,2018,,10.1109/isi.2018.8587336,,https://doi.org/10.1109/isi.2018.8587336,OpenAlex,threat intelligence collection,discovery,39.0,12.0,266,2026-04-23T15:04:15.521928+00:00,40.0,36.27,40.0,0.0,0.0,26.88,Below quality threshold,reject
Privacy-preserving AI for cybersecurity: Balancing threat intelligence collection with user data protection,Sridevi Kakolu; Muhammad Faheem; Muhammad Aslam,2021,International Journal of Science and Research Archive,10.30574/ijsra.2021.2.2.0071,,http://dx.doi.org/10.30574/ijsra.2021.2.2.0071,OpenAlex,threat intelligence collection,discovery,1.0,0.0,267,2026-04-23T15:04:15.521928+00:00,40.0,3.34,40.0,0.0,50.0,27.0,Below quality threshold,reject
Identifying Enemies Among Us: Evolving Terrorist Threats and the Continuing Challenges of Domestic Intelligence Collection and Information Sharing,Brian Michael Jenkins; Andrew Liepman; Henry H. Willis,2014,,,,https://apps.dtic.mil/sti/pdfs/ADA592095.pdf,OpenAlex,threat intelligence collection,discovery,11.0,0.0,268,2026-04-23T15:04:15.521928+00:00,40.0,13.28,40.0,0.0,0.0,19.99,Below quality threshold,reject
Active and Passive Collection of SSH Key Material for Cyber Threat Intelligence,Alexandre Dulaunoy; Jean-Louis Huynen; Aurelien Thirion,2021,Digital Threats Research and Practice,10.1145/3491262,,https://doi.org/10.1145/3491262,OpenAlex,threat intelligence collection,discovery,5.0,8.0,269,2026-04-23T15:04:15.521928+00:00,40.0,13.13,40.0,0.0,0.0,19.94,Below quality threshold,reject
On Design and Enhancement of Smart Grid Honeypot System for Practical Collection of Threat Intelligence,Daisuke Mashima; Derek Kok; Wei Lin; Muhammad Hazwan; Alvin Cheng,2020,,,,,OpenAlex,threat intelligence collection,discovery,5.0,6.0,270,2026-04-23T15:04:15.521928+00:00,40.0,11.68,40.0,0.0,0.0,19.5,Below quality threshold,reject
Extracting Threat Intelligence Related IoT Botnet From Latest Dark Web Data Collection,Keisuke Furumoto; Mitsuhiro Umizaki; Akira Fujita; Takahiko Nagata; Takeshi Takahashi; Daisuke Inoue,2021,,10.1109/ithings-greencom-cpscom-smartdata-cybermatics53846.2021.00034,,https://doi.org/10.1109/ithings-greencom-cpscom-smartdata-cybermatics53846.2021.00034,OpenAlex,threat intelligence collection,discovery,6.0,17.0,271,2026-04-23T15:04:15.521928+00:00,40.0,15.02,80.0,0.0,0.0,26.51,Below quality threshold,reject
MISP,Cynthia Wagner; Alexandre Dulaunoy; Gérard Wagener; Andras Iklody,2016,,10.1145/2994539.2994542,,https://doi.org/10.1145/2994539.2994542,OpenAlex,threat intelligence collection,discovery,214.0,21.0,272,2026-04-23T15:04:15.521928+00:00,40.0,65.4,40.0,0.0,0.0,35.62,Below quality threshold,reject
"A Systematic Review of Honeypot Data Collection, Threat Intelligence Platforms, and Ai/Ml Techniques",Ahmed Kubba; Qassim Nasir; Omnia Elmutasim; Manar Abu Talib,2025,SSRN Electronic Journal,10.2139/ssrn.5242873,,https://doi.org/10.2139/ssrn.5242873,OpenAlex,threat intelligence collection,discovery,2.0,38.0,274,2026-04-23T15:04:15.521928+00:00,40.0,15.02,40.0,0.0,0.0,20.51,Below quality threshold,reject
Data Collection and Exploratory Analysis for Cyber Threat Intelligence Machine Learning Processes,Shaya Wolf; Rita Foster; Andrea Mack; Zachary Priest; Jed Haile,2022,,10.1109/sds54800.2022.00009,,https://doi.org/10.1109/sds54800.2022.00009,OpenAlex,threat intelligence collection,discovery,2.0,23.0,277,2026-04-23T15:04:15.521928+00:00,40.0,7.29,40.0,0.0,0.0,18.19,Below quality threshold,reject
Taxonomy Model for Cyber Threat Intelligence Information Exchange Technologies,Eric Burger; Michael D. Goodman; Panos Kampanakis; Kevin A. Zhu,2014,,10.1145/2663876.2663883,,https://doi.org/10.1145/2663876.2663883,OpenAlex,threat intelligence collection,discovery,128.0,10.0,278,2026-04-23T15:04:15.521928+00:00,40.0,51.65,40.0,0.0,0.0,31.5,Below quality threshold,reject
Strategic thinking in criminal intelligence,Jerry H. Ratcliffe,2004,Federation Press eBooks,,,http://ci.nii.ac.jp/ncid/BA73657327?l=en,OpenAlex,threat intelligence collection,discovery,108.0,22.0,280,2026-04-23T15:04:15.521928+00:00,40.0,37.7,40.0,0.0,0.0,27.31,Below quality threshold,reject
AI-Driven Proactive Cloud Application Data Access Security,Priyanka Neelakrishnan,2024,International Journal of Innovative Science and Research Technology (IJISRT),10.38124/ijisrt/ijisrt24apr957,,https://doi.org/10.38124/ijisrt/ijisrt24apr957,OpenAlex,threat intelligence collection,discovery,233.0,10.0,281,2026-04-23T15:04:15.521928+00:00,40.0,94.59,40.0,0.0,0.0,44.38,Below quality threshold,reject
Advanced Hacker Forum Use Collection and Classification Methods for Preventive Cyber Threat Intelligence,Jaspreet Kaur; Prabhdeep Singh; Amit Kumar,2024,,10.1109/ictacs62700.2024.10841221,,https://doi.org/10.1109/ictacs62700.2024.10841221,OpenAlex,threat intelligence collection,discovery,1.0,19.0,283,2026-04-23T15:04:15.521928+00:00,40.0,6.23,80.0,0.0,0.0,23.87,Below quality threshold,reject
Threats to Panama's Democracy and U.S. Interests: a Framework for Intelligence Collection and Analysis,Dana Dillon,1990,,10.21236/ada231065,,http://doi.org/10.21236/ada231065,OpenAlex,threat intelligence collection,discovery,1.0,0.0,284,2026-04-23T15:04:15.521928+00:00,40.0,0.58,40.0,0.0,0.0,16.17,Below quality threshold,reject
Automation of Binary Analysis: From Open Source Collection to Threat Intelligence,Frédéric Grelot; Sébastien Larinier; Marie Salmon,2021,SPIRE - Sciences Po Institutional REpository,,,https://hal.science/hal-04580466,OpenAlex,threat intelligence collection,discovery,1.0,0.0,285,2026-04-23T15:04:15.521928+00:00,40.0,3.34,40.0,0.0,0.0,17.0,Below quality threshold,reject
inTIME: A Machine Learning-Based Framework for Gathering and Leveraging Web Data to Cyber-Threat Intelligence,Paris Koloveas; Thanasis Chantzios; Sofia Alevizopoulou; Spiros Skiadopoulos; Christos Tryfonopoulos,2021,Electronics,10.3390/electronics10070818,,https://doi.org/10.3390/electronics10070818,OpenAlex,threat intelligence collection,discovery,65.0,80.0,286,2026-04-23T15:04:15.521928+00:00,40.0,53.54,40.0,0.0,0.0,32.06,Below quality threshold,reject
"Techniques for threat intelligence collection, sharing, and reporting - initial version","Dimitrios Kavallieros; Theodora Tsikrika; Stefanos Vrochidis; Ilias Koritsas; Arnolnt Spyros; Kallipi Lapidaki; Spyridon Papastergiou; Konstantina Stelliou; Karina Sanchez; Konstantinos Ntafloukas; Iulia Stefan; Catalin Danila; Dana Oniga; Tziouvaras, Thanasis",2023,Zenodo (CERN European Organization for Nuclear Research),10.5281/zenodo.7669207,,https://doi.org/10.5281/zenodo.7669207,OpenAlex,threat intelligence collection,discovery,0.0,0.0,287,2026-04-23T15:04:15.521928+00:00,40.0,0.0,80.0,0.0,25.0,27.0,Below quality threshold,reject
A cognitive platform for collecting cyber threat intelligence and real-time detection using cloud computing,Prasasthy Balasubramanian; Sadaf Nazari; Danial Khosh Kholgh; Alireza Mahmoodi; Justin Seby; Panos Kostakos,2025,Decision Analytics Journal,10.1016/j.dajour.2025.100545,,https://doi.org/10.1016/j.dajour.2025.100545,OpenAlex,threat intelligence collection,discovery,21.0,65.0,288,2026-04-23T15:04:15.521928+00:00,40.0,52.92,40.0,0.0,0.0,31.88,Below quality threshold,reject
Assessing Artificial Intelligence Technology Acceptance in Managerial Accounting,Anca Antoaneta Vărzaru,2022,Electronics,10.3390/electronics11142256,,https://doi.org/10.3390/electronics11142256,OpenAlex,threat intelligence collection,discovery,81.0,64.0,289,2026-04-23T15:04:15.521928+00:00,40.0,61.64,40.0,0.0,0.0,34.49,Below quality threshold,reject
The Significance of Machine Learning and Deep Learning Techniques in Cybersecurity: A Comprehensive Review,Maad Mijwil; Israa Ezzat Salem; Marwa M. Ismaeel,2023,Iraqi Journal for Computer Science and Mathematics,10.52866/ijcsm.2023.01.01.008,,https://doi.org/10.52866/ijcsm.2023.01.01.008,OpenAlex,threat intelligence collection,discovery,100.0,82.0,290,2026-04-23T15:04:15.521928+00:00,40.0,70.6,40.0,0.0,25.0,42.18,Below quality threshold,reject
Characteristics of Internet Addiction/Pathological Internet Use in U.S. University Students: A Qualitative-Method Investigation,Wen Li; Jennifer E. O’Brien; Susan M. Snyder; Matthew O. Howard,2015,PLoS ONE,10.1371/journal.pone.0117372,,https://doi.org/10.1371/journal.pone.0117372,OpenAlex,internet investigation methods,discovery,249.0,70.0,322,2026-04-23T15:04:15.521928+00:00,40.0,66.73,40.0,0.0,0.0,36.02,Below quality threshold,reject
"Monetary Rewards, Intrinsic Motivators, and Work Engagement in the IT‐Enabled Sharing Economy: A Mixed‐Methods Investigation of Internet Taxi Drivers*",Ying Hua; Xusen Cheng; Tingting Hou; Rob Luo,2019,Decision Sciences,10.1111/deci.12372,,https://doi.org/10.1111/deci.12372,OpenAlex,internet investigation methods,discovery,101.0,89.0,323,2026-04-23T15:04:15.521928+00:00,40.0,56.59,40.0,0.0,0.0,32.98,Below quality threshold,reject
The Effect of U.S. University Students' Problematic Internet Use on Family Relationships: A Mixed-Methods Investigation,Susan M. Snyder; Wen Li; Jennifer E. O’Brien; Matthew O. Howard,2015,PLoS ONE,10.1371/journal.pone.0144005,,https://doi.org/10.1371/journal.pone.0144005,OpenAlex,internet investigation methods,discovery,39.0,33.0,325,2026-04-23T15:04:15.521928+00:00,40.0,31.35,40.0,0.0,0.0,25.41,Below quality threshold,reject
Cybercrimes Investigation and Intrusion Detection in Internet of Things Based on Data Science Methods,Ezz El‐Din Hemdan; D. H. Manjaiah,2017,Lecture notes on data engineering and communications technologies,10.1007/978-3-319-70688-7_2,,https://doi.org/10.1007/978-3-319-70688-7_2,OpenAlex,internet investigation methods,discovery,21.0,22.0,326,2026-04-23T15:04:15.521928+00:00,40.0,24.52,40.0,0.0,25.0,28.35,Below quality threshold,reject
On the applicability of Internet-mediated research methods to investigate translators’ cognitive behaviour,Christopher D. Mellinger,2015,SHILAP Revista de lepidopterología,,,https://doaj.org/article/ab4cbccb93264be9a894b31c2ed5b114,OpenAlex,internet investigation methods,discovery,23.0,28.0,327,2026-04-23T15:04:15.521928+00:00,40.0,23.19,40.0,0.0,0.0,22.96,Below quality threshold,reject
An Investigation of Methods of Instruction and Student Learning Styles in Internet-Based Community College Courses,William Doherty; Cleborne D. Maddux,2002,Computers in the Schools,10.1300/j025v19v03_03,,https://doi.org/10.1300/j025v19v03_03,OpenAlex,internet investigation methods,discovery,18.0,34.0,329,2026-04-23T15:04:15.521928+00:00,40.0,11.75,40.0,0.0,0.0,19.53,Below quality threshold,reject
Searching for Truth: Internet Search Patterns as a Method of Investigating Online Responses to a Russian Illicit Drug Policy Debate,Andrey Zheluk; James Gillespie; Casey Quinn,2012,Journal of Medical Internet Research,10.2196/jmir.2270,,https://doi.org/10.2196/jmir.2270,OpenAlex,internet investigation methods,discovery,19.0,27.0,332,2026-04-23T15:04:15.521928+00:00,40.0,17.73,40.0,0.0,0.0,21.32,Below quality threshold,reject
Implementation path and reference framework for Industrial Internet Platform (IIP) in product service system using industrial practice investigation method,Xianyu Zhang; Xinguo Ming,2021,Advanced Engineering Informatics,10.1016/j.aei.2021.101481,,https://doi.org/10.1016/j.aei.2021.101481,OpenAlex,internet investigation methods,discovery,18.0,94.0,334,2026-04-23T15:04:15.521928+00:00,40.0,30.04,40.0,0.0,0.0,25.01,Below quality threshold,reject
A Mixed Method Study Investigating the Impact of Talking about Patients’ Internet Use on Patient-Reported Outcomes,Remco Sanders; Annemiek J. Linn,2018,Journal of Health Communication,10.1080/10810730.2018.1514443,,https://doi.org/10.1080/10810730.2018.1514443,OpenAlex,internet investigation methods,discovery,18.0,43.0,337,2026-04-23T15:04:15.521928+00:00,40.0,23.8,40.0,0.0,0.0,23.14,Below quality threshold,reject
Multilocus Sequence Typing of Bacteria,Martin Maiden,2006,Annual Review of Microbiology,10.1146/annurev.micro.59.030804.121325,,https://doi.org/10.1146/annurev.micro.59.030804.121325,OpenAlex,internet investigation methods,discovery,915.0,121.0,338,2026-04-23T15:04:15.521928+00:00,40.0,82.28,40.0,0.0,0.0,40.68,Below quality threshold,reject
Power and Sample Size Calculations for Studies Involving Linear Regression,William D. Dupont; W. Dale Plummer,1998,Controlled Clinical Trials,10.1016/s0197-2456(98)00037-3,,https://doi.org/10.1016/s0197-2456(98)00037-3,OpenAlex,internet investigation methods,discovery,1034.0,14.0,340,2026-04-23T15:04:15.521928+00:00,40.0,78.04,40.0,0.0,0.0,39.41,Below quality threshold,reject
Multichannel customer management: Understanding the research-shopper phenomenon,Peter C. Verhoef; Scott A. Neslin; Björn Vroomen,2007,International Journal of Research in Marketing,10.1016/j.ijresmar.2006.11.002,,https://doi.org/10.1016/j.ijresmar.2006.11.002,OpenAlex,internet investigation methods,discovery,977.0,79.0,341,2026-04-23T15:04:15.521928+00:00,40.0,84.7,40.0,0.0,0.0,41.41,Below quality threshold,reject
Qualitative Research Methods in Public Relations and Marketing Communications,C. Daymon; Immy Holloway,2010,,10.4324/9780203846544,,https://doi.org/10.4324/9780203846544,OpenAlex,internet investigation methods,discovery,942.0,0.0,342,2026-04-23T15:04:15.521928+00:00,40.0,87.38,40.0,0.0,0.0,42.21,Below quality threshold,reject
On Netnography: Initial Reflections on Consumer Research Investigations of Cyberculture,Robert V. Kozinets,1998,,,,http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.201.2695,OpenAlex,internet investigation methods,discovery,638.0,13.0,343,2026-04-23T15:04:15.521928+00:00,40.0,67.94,40.0,0.0,0.0,36.38,Below quality threshold,reject
Investigating Factors Influencing Medical Practitioners’ Resistance to and Adoption of Internet Hospitals in China: Mixed Methods Study,Wenhao Deng; Tianan Yang; Jianwei Deng; Ran Liu; Xueqin Sun; Gang Li; Xinmei Wen,2023,Journal of Medical Internet Research,10.2196/46621,,https://doi.org/10.2196/46621,OpenAlex,internet investigation methods,discovery,14.0,72.0,344,2026-04-23T15:04:15.521928+00:00,40.0,32.59,40.0,0.0,0.0,25.78,Below quality threshold,reject
